Period,Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
2017-2018,351,398,-1,96.40293874,0,Pocillopora,dead,none
2017-2018,364,411,-1,7.242995628,0,Pocillopora_dead,dead,none
2017-2018,372,420,-1,15.97902594,0,Pocillopora,dead,none
2017-2018,374,422,-1,59.87246815,0,Pocillopora,dead,none
2017-2018,377,425,-1,10.57121877,0,Pocillopora,dead,none
2017-2018,379,428,-1,62.18756062,0,Pocillopora_dead,dead,none
2017-2018,381,430,-1,5.99880006,0,Pocillopora,dead,none
2017-2018,383,433,-1,15.46801704,0,Pocillopora_dead,dead,none
2017-2018,392,442,-1,5.341153831,0,Pocillopora,dead,none
2017-2018,400,450,-1,45.43535601,0,Pocillopora,dead,none
2017-2018,379,452,-1,12.85964991,0,Pocillopora_dead,dead,none
2017-2018,383,456,-1,18.27634418,0,Pocillopora_dead,dead,none
2017-2018,410,462,-1,67.69312601,0,Pocillopora,dead,none
2017-2018,417,470,-1,75.23828342,0,Pocillopora,dead,none
2017-2018,289,476,-1,35.17962969,0,Pocillopora_dead,dead,none
2017-2018,383,477,-1,9.064853424,0,Pocillopora_dead,dead,none
2017-2018,423,478,-1,57.55737569,0,Pocillopora,dead,none
2017-2018,427,482,-1,28.61205451,0,Pocillopora_dead,dead,none
2017-2018,431,487,-1,3.026061364,0,Pocillopora,dead,none
2017-2018,437,493,-1,99.18460455,0,Pocillopora,dead,none
2017-2018,441,497,-1,4.345797377,0,Pocillopora,dead,none
2017-2018,443,499,-1,7.607367187,0,Pocillopora,dead,none
2017-2018,450,507,-1,74.82058919,0,Pocillopora,dead,none
2017-2018,454,511,-1,0.368815115,0,Pocillopora_dead,dead,none
2017-2018,457,514,-1,229.6785019,0,Pocillopora,dead,none
2017-2018,468,527,-1,106.329842,0,Pocillopora,dead,none
2017-2018,470,529,-1,2.390632913,0,Pocillopora,dead,none
2017-2018,481,541,-1,70.74584871,0,Pocillopora,dead,none
2017-2018,485,545,-1,120.9313657,0,Pocillopora,dead,none
2017-2018,497,558,-1,12.30420546,0,Pocillopora,dead,none
2017-2018,500,561,-1,0.346597337,0,Pocillopora,dead,none
2017-2018,502,563,-1,167.5176026,0,Pocillopora,dead,none
2017-2018,503,564,-1,3.523739591,0,Pocillopora_dead,dead,none
2017-2018,503,570,-1,5.274500497,0,Pocillopora_dead,dead,none
2017-2018,509,571,-1,110.1424127,0,Pocillopora_dead,dead,none
2017-2018,521,583,-1,5.26116983,0,Pocillopora,dead,none
2017-2018,522,584,-1,24.4795478,0,Pocillopora,dead,none
2017-2018,525,588,-1,75.25605764,0,Pocillopora,dead,none
2017-2018,530,593,-1,6.305405396,0,Pocillopora,dead,none
2017-2018,532,595,-1,40.17418618,0,Pocillopora,dead,none
2017-2018,533,596,-1,122.2555452,0,Pocillopora,dead,none
2017-2018,539,603,-1,2.461729802,0,Pocillopora_dead,dead,none
2017-2018,541,606,-1,5.265613386,0,Pocillopora_dead,dead,none
2017-2018,548,613,-1,141.416157,0,Pocillopora,dead,none
2017-2018,553,618,-1,132.4490618,0,Pocillopora,dead,none
2017-2018,557,622,-1,77.02459277,0,Pocillopora,dead,none
2017-2018,569,634,-1,2.288431134,0,Pocillopora,dead,none
2017-2018,573,638,-1,3.123819587,0,Pocillopora_dead,dead,none
2017-2018,577,642,-1,10.1179761,0,Pocillopora_dead,dead,none
2017-2018,588,654,-1,3.674820481,0,Pocillopora_dead,dead,none
2017-2018,589,655,-1,86.31162397,0,Pocillopora,dead,none
2017-2018,591,657,-1,5.367815165,0,Pocillopora,dead,none
2017-2018,599,665,-1,11.83318856,0,Pocillopora,dead,none
2017-2018,602,669,-1,176.06256,0,Pocillopora,dead,none
2017-2018,623,690,-1,10.75784811,0,Pocillopora,dead,none
2017-2018,2,2,3,260.4012453,300.2554954,Pocillopora,grow,none
2017-2018,3,3,5,53.98920054,70.43924337,Pocillopora,grow,none
2017-2018,5,5,6,401.9551525,591.6327668,Pocillopora,grow,none
2017-2018,8,8,14,154.5424202,189.0199681,Pocillopora,grow,none
2017-2018,10,10,810,25.17274247,41.16954263,Pocillopora,grow,none
2017-2018,11,11,15,120.4692359,196.2985122,Pocillopora,grow,none
2017-2018,12,12,20,194.8499131,186.931497,Pocillopora,same,none
2017-2018,13,13,18,218.7873471,317.3631845,Pocillopora,grow,none
2017-2018,14,14,16,191.6283353,240.5607695,Pocillopora,grow,none
2017-2018,7,15,21,3.474860479,458.5305024,Pocillopora,grow,fuse
2017-2018,20,21,29,132.9111916,166.9754888,Pocillopora,grow,none
2017-2018,21,22,25,46.51958358,63.42286908,Pocillopora,grow,none
2017-2018,23,24,30,338.7633483,401.6752085,Pocillopora,grow,none
2017-2018,24,25,31,8.051722747,12.13535034,Pocillopora,grow,none
2017-2018,27,28,32,360.8300454,404.7812538,Pocillopora,grow,none
2017-2018,28,29,19,203.0127247,422.1733304,Pocillopora,grow,none
2017-2018,29,30,807,358.9904134,495.6652965,Pocillopora,grow,none
