Time period,Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
2017-2018,259,271,-1,15.95027376,0,Pocillopora,dead,none
2017-2018,261,273,-1,10.55219724,0,Pocillopora,dead,none
2017-2018,262,274,-1,62.08009776,0,Pocillopora_dead,dead,none
2017-2018,263,275,-1,5.988006,0,Pocillopora,dead,none
2017-2018,264,276,-1,15.44018436,0,Pocillopora_dead,dead,none
2017-2018,266,278,-1,5.33154312,0,Pocillopora,dead,none
2017-2018,268,280,-1,67.57132104,0,Pocillopora,dead,none
2017-2018,269,281,-1,45.353601,0,Pocillopora,dead,none
2017-2018,262,282,-1,12.83651064,0,Pocillopora_dead,dead,none
2017-2018,272,285,-1,18.24345828,0,Pocillopora_dead,dead,none
2017-2018,279,294,-1,70.37903052,0,Pocillopora,dead,none
2017-2018,284,299,-1,35.11632852,0,Pocillopora_dead,dead,none
2017-2018,272,300,-1,9.0485424,0,Pocillopora_dead,dead,none
2017-2018,285,301,-1,19.56969072,0,Pocillopora,dead,none
2017-2018,286,302,-1,28.56057084,0,Pocillopora_dead,dead,none
2017-2018,291,308,-1,74.9831418,0,Pocillopora,dead,none
2017-2018,292,309,-1,3.02061636,0,Pocillopora,dead,none
2017-2018,294,311,-1,229.2652253,0,Pocillopora,dead,none
2017-2018,299,316,-1,4.33797768,0,Pocillopora,dead,none
2017-2018,300,318,-1,7.59367872,0,Pocillopora,dead,none
2017-2018,305,323,-1,0.36815148,0,Pocillopora_dead,dead,none
2017-2018,308,326,-1,6.80414904,0,Pocillopora,dead,none
2017-2018,312,330,-1,106.1385152,0,Pocillopora,dead,none
2017-2018,314,332,-1,2.38633128,0,Pocillopora,dead,none
2017-2018,321,340,-1,70.61855076,0,Pocillopora,dead,none
2017-2018,336,356,-1,3.51739908,0,Pocillopora_dead,dead,none
2017-2018,336,365,-1,5.26500972,0,Pocillopora_dead,dead,none
2017-2018,344,366,-1,109.9442257,0,Pocillopora_dead,dead,none
2017-2018,354,377,-1,175.6259982,0,Pocillopora,dead,none
2017-2018,356,379,-1,6.29405964,0,Pocillopora,dead,none
2017-2018,359,383,-1,10.68526404,0,Pocillopora,dead,none
2017-2018,361,385,-1,2.45730024,0,Pocillopora_dead,dead,none
2017-2018,363,387,-1,5.2561386,0,Pocillopora_dead,dead,none
2017-2018,368,392,-1,141.161697,0,Pocillopora,dead,none
2017-2018,372,396,-1,23.30443224,0,Pocillopora,dead,none
2017-2018,373,397,-1,76.88599704,0,Pocillopora,dead,none
2017-2018,381,405,-1,2.2843134,0,Pocillopora,dead,none
2017-2018,382,406,-1,96.74843472,0,Pocillopora,dead,none
2017-2018,386,410,-1,3.11819868,0,Pocillopora_dead,dead,none
2017-2018,389,413,-1,10.09977012,0,Pocillopora_dead,dead,none
2017-2018,400,426,-1,3.66820812,0,Pocillopora_dead,dead,none
2017-2018,401,428,-1,6.70213116,0,Pocillopora,dead,none
2017-2018,402,429,-1,119.4806797,0,Pocillopora,dead,none
2017-2018,410,439,-1,38.3010606,0,Pocillopora,dead,none
2017-2018,420,453,-1,107.9437882,0,Pocillopora,dead,none
2017-2018,423,457,-1,192.7871798,0,Pocillopora,dead,none
2017-2018,431,465,-1,114.0293765,0,Pocillopora,dead,none
2017-2018,434,468,-1,65.97008388,0,Pocillopora,dead,none
2017-2018,435,469,-1,44.19591984,0,Pocillopora,dead,none
2017-2018,443,480,-1,165.3399346,0,Pocillopora,dead,none
2017-2018,445,485,-1,196.6283748,0,Pocillopora,dead,none
2017-2018,456,498,-1,0.16855128,0,Pocillopora,dead,none
2017-2018,461,503,-1,0.68307624,0,Pocillopora,dead,none
2017-2018,466,511,-1,103.12677,0,Pocillopora,dead,none
2017-2018,475,521,-1,43.53058584,0,Pocillopora,dead,none
2017-2018,497,549,-1,93.5681382,0,Pocillopora,dead,none
2017-2018,506,558,-1,75.8258982,0,Pocillopora,dead,none
2017-2018,512,566,-1,171.061807,0,Pocillopora,dead,none
2017-2018,519,575,-1,129.6869033,0,Pocillopora,dead,none
2017-2018,538,597,-1,59.80909104,0,Pocillopora,dead,none
2017-2018,548,608,-1,99.39202848,0,Pocillopora,dead,none
2017-2018,550,610,-1,122.7408163,0,Pocillopora,dead,none
2017-2018,552,613,-1,132.2107369,0,Pocillopora,dead,none
2017-2018,558,620,-1,81.1485702,0,Pocillopora,dead,none
2017-2018,572,634,-1,0.34597368,0,Pocillopora,dead,none
2017-2018,590,654,-1,70.61855076,0,Acropora,dead,none
2017-2018,592,656,-1,102.0001378,0,Acropora,dead,none
2017-2018,604,668,-1,94.42863684,0,Acropora,dead,none
2017-2018,606,670,-1,28.00612584,0,Pocillopora,dead,none
2017-2018,0,0,139,47.5935588,67.23543978,Pocillopora,grow,none
2017-2018,1,1,39,358.9210796,591.4061455,Pocillopora,grow,none
2017-2018,3,3,775,49.83795216,75.56266298,Pocillopora,grow,none
2017-2018,4,4,36,338.2203211,401.6752085,Pocillopora,grow,none
2017-2018,3,5,781,67.55801436,113.7639105,Pocillopora,grow,none
2017-2018,5,6,5,203.037759,289.4620989,Pocillopora,grow,none
2017-2018,6,7,4,259.9326871,300.2554954,Pocillopora,grow,none
2017-2018,7,8,21,120.607312,196.2985122,Pocillopora,grow,none
2017-2018,8,9,8,53.892054,70.43924337,Pocillopora,grow,none
2017-2018,9,10,786,35.23608864,44.30669289,Pocillopora,grow,none
2017-2018,14,15,18,71.70969852,122.9487399,Pocillopora,grow,none
2017-2018,15,16,145,71.75848968,76.02479276,Pocillopora,grow,none
2017-2018,17,18,20,154.2643412,189.0199681,Pocillopora,grow,none
2017-2018,18,19,34,139.6624777,178.8708871,Pocillopora,grow,none
2017-2018,19,20,46,21.4681104,30.26061364,Pocillopora,grow,fuse
2017-2018,23,24,26,194.499306,186.931497,Pocillopora,same,none
2017-2018,25,26,27,3.50852796,458.5305024,Pocillopora,grow,fuse
2017-2018,30,31,35,132.6720352,166.9754888,Pocillopora,grow,none
2017-2018,31,32,31,46.43587764,63.42286908,Pocillopora,grow,none
2017-2018,32,33,11,401.1919664,591.6327668,Pocillopora,grow,none
2017-2018,35,36,37,8.03723472,12.13535034,Pocillopora,grow,none
2017-2018,43,44,44,113.0313755,143.6112734,Pocillopora,grow,none
2017-2018,44,45,47,46.99919376,73.99853141,Pocillopora,grow,none
